outcome_d,intervention,fightcaphigh,mi_fightcap,troops2rebs,coup,land,lngdp,lnyears,postCW,outcome_dy,exgov_combat,strongrebs_dy,mi_strongrebs_dy,exreb_combat,coup_dy,land,lngdp,lnyears,postCW,dyad_id,year,conflictid,Government,Opposition
2,0,0,0,0,0,0,6.632397,0,1,3,0,0,0,0,0,0,6.632397,0,1,13,1997,90,"Burundi","Frolina"
,,0,,,,0,6.659576,0,1,0,0,0,0,0,0,0,6.659576,0,1,14,1998,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.713721,.6931472,1,0,0,0,0,0,0,0,6.713721,.6931472,1,14,1999,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.549422,1.098612,1,0,0,0,0,0,0,0,6.549422,1.098612,1,14,2000,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.572646,1.386294,1,0,0,0,0,0,0,0,6.572646,1.386294,1,14,2001,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.633766,1.609438,1,0,0,0,0,0,0,0,6.633766,1.609438,1,14,2002,90,"Burundi","CNDD–FDD"
2,0,0,0,0,0,0,6.637664,1.791759,1,3,0,0,0,0,0,0,6.637664,1.791759,1,14,2003,90,"Burundi","CNDD–FDD"
,,0,,,,0,6.632397,0,1,0,0,0,0,0,0,0,6.632397,0,1,15,1997,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.659576,.6931472,1,0,0,0,0,0,0,0,6.659576,.6931472,1,15,1998,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.713721,1.098612,1,0,0,0,0,0,0,0,6.713721,1.098612,1,15,1999,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.549422,1.386294,1,0,0,0,0,0,0,0,6.549422,1.386294,1,15,2000,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.572646,1.609438,1,0,0,0,0,0,0,0,6.572646,1.609438,1,15,2001,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.633766,1.791759,1,0,0,0,0,0,0,0,6.633766,1.791759,1,15,2002,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.637664,1.94591,1,0,0,0,0,0,0,0,6.637664,1.94591,1,15,2003,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,6.637664,2.079442,1,0,0,0,0,0,0,0,6.637664,2.079442,1,15,2004,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,,2.197225,1,0,0,0,0,0,0,0,,2.197225,1,15,2005,90,"Burundi","Palipehutu–FNL"
,,0,,,,0,,2.302585,1,0,0,0,0,0,0,0,,2.302585,1,15,2006,90,"Burundi","Palipehutu–FNL"
2,0,0,0,0,0,0,,2.484907,1,3,0,0,0,0,0,0,,2.484907,1,15,2008,90,"Burundi","Palipehutu–FNL"
3,1,0,0,0,1,0,6.861439,0,1,4,1,0,0,0,1,0,6.861439,0,1,17,2001,222,"Central African Republic","Military faction (forces of André Kolingba)"
0,0,0,0,0,0,0,6.800303,0,0,2,0,0,0,0,0,0,6.800303,0,0,18,1989,91,"Chad","Revolutionary Forces of 1 April"
0,0,0,0,0,0,0,6.800303,0,0,2,0,0,0,0,0,0,6.800303,0,0,19,1989,91,"Chad","MOSANAT"
,,0,,,,0,6.800303,0,0,0,0,0,0,0,0,0,6.800303,0,0,20,1989,91,"Chad","Islamic Legion"
0,0,0,0,0,0,0,6.724529,.6931472,1,2,0,0,0,0,0,0,6.724529,.6931472,1,20,1990,91,"Chad","Islamic Legion"
,,0,,,,0,6.804204,0,1,0,0,0,0,0,0,0,6.804204,0,1,21,1992,91,"Chad","CSNPD"
,,0,,,,0,6.773858,.6931472,1,0,0,0,0,0,0,0,6.773858,.6931472,1,21,1993,91,"Chad","CSNPD"
2,0,0,0,0,0,0,6.756921,1.098612,1,3,0,0,0,0,0,0,6.756921,1.098612,1,21,1994,91,"Chad","CSNPD"
,,0,,,,0,6.804204,0,1,0,0,0,0,0,0,0,6.804204,0,1,22,1992,91,"Chad","CNR"
,,0,,,,0,6.773858,.6931472,1,0,0,0,0,0,0,0,6.773858,.6931472,1,22,1993,91,"Chad","CNR"
0,0,0,0,0,0,0,6.756921,1.098612,1,2,0,0,0,0,0,0,6.756921,1.098612,1,22,1994,91,"Chad","CNR"
1,0,1,0,0,0,0,6.724529,0,1,1,0,0,0,0,0,0,6.724529,0,1,23,1990,91,"Chad","MPS"
,,0,,,,0,6.804204,0,1,0,0,0,0,0,0,0,6.804204,0,1,24,1992,91,"Chad","FNT"
,,0,,,,0,6.773858,.6931472,1,0,0,0,0,0,0,0,6.773858,.6931472,1,24,1993,91,"Chad","FNT"
2,0,0,0,0,0,0,6.756921,1.098612,1,3,0,0,0,0,0,0,6.756921,1.098612,1,24,1994,91,"Chad","FNT"
,,0,,,,0,6.771901,0,1,0,0,0,0,0,0,0,6.771901,0,1,25,1991,91,"Chad","MDD"
,,0,,,,0,6.804204,.6931472,1,0,0,0,0,0,0,0,6.804204,.6931472,1,25,1992,91,"Chad","MDD"
0,0,0,0,0,0,0,6.773858,1.098612,1,2,0,0,0,0,0,0,6.773858,1.098612,1,25,1993,91,"Chad","MDD"
2,0,0,0,0,0,0,6.724157,0,1,3,0,0,0,0,0,0,6.724157,0,1,25,1997,91,"Chad","MDD"
,,0,,,,0,6.724157,0,1,0,0,0,0,0,0,0,6.724157,0,1,26,1997,91,"Chad","FARF"
2,0,0,0,0,0,0,6.773012,.6931472,1,3,0,0,0,0,0,0,6.773012,.6931472,1,26,1998,91,"Chad","FARF"
,,0,,,,0,6.781534,0,1,0,0,0,0,0,0,0,6.781534,0,1,27,1999,91,"Chad","MDJT"
,,0,,,,0,6.720835,.6931472,1,0,0,0,0,0,0,0,6.720835,.6931472,1,27,2000,91,"Chad","MDJT"
,,0,,,,0,6.627605,1.098612,1,0,0,0,0,0,0,0,6.627605,1.098612,1,27,2001,91,"Chad","MDJT"
0,0,0,0,0,0,0,6.576316,1.386294,1,2,0,0,0,0,0,0,6.576316,1.386294,1,27,2002,91,"Chad","MDJT"
2,0,0,0,0,0,1,7.361509,0,1,3,0,1,0,0,0,1,7.361509,0,1,35,1997,213,"Comoros","MPA/Republic of Anjouan"
,,0,,,,0,7.651349,0,1,0,0,0,0,0,0,0,7.651349,0,1,36,1993,214,"Congo","Ninjas"
2,0,0,0,0,0,0,7.576645,.6931472,1,0,0,0,0,0,0,0,7.576645,.6931472,1,36,1994,214,"Congo","Ninjas"
,,0,,,,0,7.842656,1.386294,1,0,1,0,0,0,0,0,7.842656,1.386294,1,36,1998,214,"Congo","Ninjas"
0,1,0,0,0,0,0,7.321195,1.94591,1,2,0,0,0,0,0,0,7.321195,1.94591,1,36,1999,214,"Congo","Ninjas"
,,0,,,,0,7.711688,0,1,0,1,0,0,0,0,0,7.711688,0,1,37,1997,214,"Congo","Cocoyes"
,,0,,,,0,7.842656,.6931472,1,0,1,0,0,0,0,0,7.842656,.6931472,1,37,1998,214,"Congo","Cocoyes"
0,1,0,0,0,0,0,7.321195,1.098612,1,2,1,0,0,0,0,0,7.321195,1.098612,1,37,1999,214,"Congo","Cocoyes"
,,0,,,,0,7.842656,0,1,0,1,0,0,0,0,0,7.842656,0,1,38,1998,214,"Congo","Ntsiloulous"
,,0,,,,0,7.321195,.6931472,1,0,1,0,0,0,0,0,7.321195,.6931472,1,38,1999,214,"Congo","Ntsiloulous"
2,1,0,0,0,0,0,7.298296,1.609438,1,3,1,0,0,0,0,0,7.298296,1.609438,1,38,2002,214,"Congo","Ntsiloulous"
,,0,,,,0,6.189824,0,1,0,0,1,0,0,0,0,6.189824,0,1,39,1996,86,"Democratic Republic of Congo (Zaire)","AFDL"
1,0,1,0,1,0,0,6.172202,.6931472,1,1,0,1,0,1,0,0,6.172202,.6931472,1,39,1997,86,"Democratic Republic of Congo (Zaire)","AFDL"
,,0,,,,0,6.143542,0,1,0,1,1,1,1,0,0,6.143542,0,1,40,1998,86,"Democratic Republic of Congo (Zaire)","RCD"
,,0,,,,0,6.012859,.6931472,1,0,1,1,1,1,0,0,6.012859,.6931472,1,40,1999,86,"Democratic Republic of Congo (Zaire)","RCD"
,,0,,,,0,5.88374,1.098612,1,0,1,1,1,1,0,0,5.88374,1.098612,1,40,2000,86,"Democratic Republic of Congo (Zaire)","RCD"
2,1,1,1,1,0,0,5.852461,1.386294,1,3,1,1,1,1,0,0,5.852461,1.386294,1,40,2001,86,"Democratic Republic of Congo (Zaire)","RCD"
,,0,,,,0,6.143542,0,1,0,1,0,0,1,0,0,6.143542,0,1,41,1998,86,"Democratic Republic of Congo (Zaire)","MLC"
,,0,,,,0,6.012859,.6931472,1,0,1,0,0,1,0,0,6.012859,.6931472,1,41,1999,86,"Democratic Republic of Congo (Zaire)","MLC"
,,0,,,,0,5.88374,1.098612,1,0,1,0,0,1,0,0,5.88374,1.098612,1,41,2000,86,"Democratic Republic of Congo (Zaire)","MLC"
2,1,0,0,1,0,0,5.852461,1.386294,1,3,1,0,0,1,0,0,5.852461,1.386294,1,41,2001,86,"Democratic Republic of Congo (Zaire)","MLC"
,,0,,,,0,6.012859,0,1,0,1,0,0,1,0,0,6.012859,0,1,42,1999,86,"Democratic Republic of Congo (Zaire)","RCD–ML"
2,1,0,0,1,0,0,5.88374,.6931472,1,3,1,0,0,1,0,0,5.88374,.6931472,1,42,2000,86,"Democratic Republic of Congo (Zaire)","RCD–ML"
,,0,,,,0,8.001375,0,1,0,0,1,0,0,0,0,8.001375,0,1,43,1991,184,"Djibouti","FRUD"
,,0,,,,0,8.032159,.6931472,1,0,0,1,0,0,0,0,8.032159,.6931472,1,43,1992,184,"Djibouti","FRUD"
,,0,,,,0,8.082405,1.098612,1,0,0,1,0,0,0,0,8.082405,1.098612,1,43,1993,184,"Djibouti","FRUD"
2,0,1,0,0,0,0,7.959346,1.386294,1,3,0,1,0,0,0,0,7.959346,1.386294,1,43,1994,184,"Djibouti","FRUD"
2,0,0,0,0,0,0,8.410153,0,1,3,0,0,0,0,0,0,8.410153,0,1,44,1999,184,"Djibouti","FRUD – AD"
,,0,,,,0,6.205951,0,0,0,0,0,0,0,0,0,6.205951,0,0,46,1976,70,"Ethiopia","TPLF"
,,0,,,,0,6.172786,.6931472,0,0,0,0,0,0,0,0,6.172786,.6931472,0,46,1978,70,"Ethiopia","TPLF"
,,0,,,,0,6.19984,1.098612,0,0,0,0,0,0,0,0,6.19984,1.098612,0,46,1979,70,"Ethiopia","TPLF"
,,0,,,,0,6.225152,1.386294,0,0,0,0,0,0,0,0,6.225152,1.386294,0,46,1980,70,"Ethiopia","TPLF"
,,0,,,,0,6.244885,1.609438,0,0,0,0,0,0,0,0,6.244885,1.609438,0,46,1981,70,"Ethiopia","TPLF"
,,0,,,,0,6.2244,1.791759,0,0,0,0,0,0,0,0,6.2244,1.791759,0,46,1982,70,"Ethiopia","TPLF"
,,0,,,,0,6.2555,1.94591,0,0,0,0,0,0,0,0,6.2555,1.94591,0,46,1983,70,"Ethiopia","TPLF"
,,0,,,,0,6.146672,2.079442,0,0,0,0,0,0,0,0,6.146672,2.079442,0,46,1984,70,"Ethiopia","TPLF"
,,0,,,,0,6.135478,2.197225,0,0,0,0,0,0,0,0,6.135478,2.197225,0,46,1985,70,"Ethiopia","TPLF"
,,0,,,,0,6.140919,2.302585,0,0,0,0,0,0,0,0,6.140919,2.302585,0,46,1986,70,"Ethiopia","TPLF"
,,0,,,,0,5.90039,2.397895,0,0,0,0,0,0,0,0,5.90039,2.397895,0,46,1987,70,"Ethiopia","TPLF"
,0,0,0,0,0,0,6.141112,2.564949,0,,0,0,0,0,0,0,6.141112,2.564949,0,46,1988,70,"Ethiopia","TPLF"
,,0,,,,0,6.2555,0,0,0,0,0,0,0,0,0,6.2555,0,0,47,1983,70,"Ethiopia","EPDM"
,,0,,,,0,6.146672,.6931472,0,0,0,0,0,0,0,0,6.146672,.6931472,0,47,1984,70,"Ethiopia","EPDM"
,0,0,0,0,0,0,6.135478,1.098612,0,,0,0,0,0,0,0,6.135478,1.098612,0,47,1985,70,"Ethiopia","EPDM"
