"","dyadid","conflict_outcome","fightcaphigh","coup","lngdp","lnyears","postCW","year","Government","Opposition","side_a","side_b","startdate","enddate","rebpolwinglegal","rebel.support","rtypesup","gov.support","gtypesup","rebel.support_d","gov.support_d","rtypesup_cat","gtypesup_cat"
"408",667,3,0,0,6.225152,2.833213,0,1980,"Ethiopia","ELF","Ethiopia","ELF","1964-03-15","1974-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"416",679,3,0,0,6.667058,0.6931472,0,1965,"Democratic Republic of Congo (Zaire)","CNL","Democratic Republic of Congo (Zaire)","CNL","1964-05-01","1965-12-31","yes","explicit","military","explicit","military","1","1","2","2"
"418",681,3,0,0,7.043361,0.6931472,0,1978,"Democratic Republic of Congo (Zaire)","FLNC","Democratic Republic of Congo (Zaire)","FLNC","1977-08-17","1978-06-15",NA,"explicit","military","explicit","troops","1","1","2","1"
"420",685,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","Frelimo","1964-11-19","1974-10-31",NA,"explicit","military","explicit","military","1","1","2","2"
"426",700,3,0,0,6.970551,0,0,1972,"Uganda","Kikosi Maalum","Uganda","Kikosi Maalum","1972-09-17","1972-12-31","no","explicit","troops","explicit","military","1","1","1","2"
"427",700,3,0,0,6.970551,0,0,1972,"Uganda","Kikosi Maalum","Uganda","Kikosi Maalum","1979-01-01","1979-3-26","no","explicit","troops","explicit","military","1","1","1","2"
"428",701,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uganda","Fronasa","1979-01-01","1979-3-26",NA,"explicit","troops","explicit","military","1","1","1","2"
"436",715,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France, Spain","National Liberation Army","1957-01-12","1958-03-01",NA,"explicit","military","explicit","military","1","1","2","2"
"437",716,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Spain","NLA","1957-10-1","1958-6-30",NA,"explicit","military","explicit","military","1","1","2","2"
"448",731,0,0,0,7.647003,2.197225,0,1988,"Afghanistan","Harakat-i Inqilab-i Islami-yi Afghanistan","Afghanistan","Harakat-i Inqilab-i Islami-yi Afghanistan","1980-01-01","1988-12-31","no","explicit","military","explicit","military","1","1","2","2"
"449",732,0,0,0,7.552495,2.302585,0,1989,"Afghanistan","Mahaz-i Milli-yi Islami-yi Afghanistan","Afghanistan","Mahaz-i Milli-yi Islami-yi Afghanistan","1980-01-01","1989-12-31","no","explicit","military","explicit","military","1","1","2","2"
"450",733,0,0,0,7.647003,2.197225,0,1988,"Afghanistan","Jabha-yi Nijat-i Milli-yi Afghanistan","Afghanistan","Jabha-yi Nijat-i Milli-yi Afghanistan","1980-01-01","1988-12-31","no","explicit","military","explicit","military","1","1","2","2"
"451",734,1,1,0,6.897028,2.70805,0,1973,"Laos","Pathet Lao","Laos, United States, Thailand, South Vietnam","Pathet Lao","1959-11-12","1973-02-22","no","explicit","troops","explicit","troops","1","1","1","1"
"452",735,0,0,0,7.647003,2.079442,0,1988,"Afghanistan","Ittihad-i Islami Bara-yi Azadi-yi Afghanistan","Afghanistan","Ittihad-i Islami Bara-yi Azadi-yi Afghanistan","1981-07-16","1988-12-31","no","explicit","military","explicit","military","1","1","2","2"
"453",736,0,0,0,6.894417,0,0,1960,"Laos","Neutralists","Laos, Thailand","Neutrals","1960-12-10","1960-12-31","no","explicit","military","explicit","troops","1","1","2","1"
"455",738,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","MPLA","1961-02-04","1974-07-31",NA,"explicit","military","explicit","military","1","1","2","2"
"456",739,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","FNLA","1961-02-04","1974-07-31",NA,"explicit","military","explicit","military","1","1","2","2"
"457",740,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Portugal","UNITA","1966-12-01","1967-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"458",745,0,0,0,7.235511,1.386294,0,1978,"Mauritania","POLISARIO","Mauritania","POLISARIO","1975-12-10","1978-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"465",752,3,0,0,7.000981,1.386294,0,1961,"Indonesia","Permesta movement","Indonesia","Permesta movement","1958-02-15","1961-12-31",NA,"explicit","military","explicit","non-military","1","1","2","3"
"467",754,0,0,0,6.172786,0.6931472,0,1978,"Ethiopia","EDU","Ethiopia","EDU","1977-01-01","1978-12-31",NA,"explicit","non-military","explicit","military","1","1","3","2"
"469",760,0,0,0,7.515976,2.484907,1,1991,"Afghanistan","Hizb-i Islami-yi Afghanistan - Khalis faction","Afghanistan","Hizb-i Islami-yi Afghanistan - Khalis faction","1980-01-01","1991-12-31","no","explicit","military","explicit","military","1","1","2","2"
"475",767,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chad","AN","2008-01-28","2008-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"476",770,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","Al-Shabaab","2008-01-01","2011-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"481",780,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Israel","Rejectionist Front","1974-01-01","1988-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"482",781,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Israel","PLO/Fatah","1965-01-03","1993-09-13",NA,"explicit","military","explicit","military","1","1","2","2"
"483",783,0,0,0,NA,0,1,2009,"Chad","UFR","Chad","UFR","2009-04-19","2009-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
"490",796,0,0,0,6.225152,1.386294,0,1980,"Ethiopia","SALF","Ethiopia","SALF","1977-01-01","1980-12-31",NA,"alleged","military","explicit","military","0","0","2","2"
"496",804,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somalia","Hizbul-Islam","2009-03-17","2010-12-31",NA,"explicit","military","explicit","military","1","1","2","2"
